"Name","Runtime","alpha","action_bins","gamma","vel_bins","x_bins","test_value","train_value","epsilon"
"dainty-sweep-21","99","0.603258377053195","21","0.5366577501545364","76","59","-505.24","-154.944","0.4124017825016274"
"atomic-sweep-20","111","0.5006907742205332","29","0.5406471217930151","40","59","-509.4","-107.176","0.5754687716694992"
"fluent-sweep-7","95","0.6980839823592143","30","0.6582281852897766","71","36","-519.54","-49.912","0.28843997668359067"
"divine-sweep-17","75","0.6216568602980768","20","0.6508084391559497","64","38","-520.38","-29.978","0.6410649587594561"
"wild-sweep-34","78","0.5556785069411135","27","0.9467155280038952","37","82","-526.7","-69.762","0.15901035302719208"
"devout-sweep-14","110","0.5566218626228528","30","0.6616403552662453","64","45","-534.6","-89.666","0.4559393164017323"
"vibrant-sweep-11","153","0.5958720290709973","35","0.7349122238635931","98","62","-558.76","-239.206","0.475743102517919"
"dry-sweep-6","130","0.6201045371487013","27","0.5135313048189525","83","60","-573.04","-211.716","0.6339200234950851"
"expert-sweep-50","83","0.6719726707865263","20","0.6203108869604994","15","65","-590.7","-36.706","0.25724038055192544"
"faithful-sweep-29","109","0.7469892446184677","22","0.5884266496279863","11","99","-603.74","-51.95","0.1580191755149709"
"fanciful-sweep-53","119","0.8945546294800264","38","0.5528103387429448","22","38","-606.52","-43.69","0.2818242810787873"
"deft-sweep-35","250","0.7562795967292599","30","0.8056790195657948","10","61","-651.74","-71.15","0.1115722121562035"
"glorious-sweep-16","128","0.5104483661211227","26","0.5679873334399104","82","60","-664.2","-232.746","0.5014631813479172"
"whole-sweep-39","164","0.6410018479348003","41","0.6925480336351444","38","97","-676.42","-184.446","0.11624248692809644"
"summer-sweep-24","107","0.5077274352416064","34","0.5031688400675587","61","19","-699.78","-31.838","0.1488996591662014"
"feasible-sweep-3","330","0.6908167599275631","66","0.7454786690524214","98","45","-724.6","-234.95","0.4518318066991161"
"skilled-sweep-10","92","0.5446064502493405","20","0.8025053091338076","88","15","-744.26","-50.802","0.35492869340691735"
"vague-sweep-81","165","0.9628925920316328","42","0.5963877282708689","80","99","-788.08","-300.624","0.8011059702162843"
"different-sweep-37","79","0.7063325106452809","21","0.951455848017962","29","59","-791.38","-3.762","0.12969962109594813"
"deep-sweep-2","130","0.8429086368837633","40","0.9351552534456912","44","81","-794.24","5.508","0.523047475073592"
"grateful-sweep-1","377","0.7809047492371026","82","0.5603103932565742","85","61","-831.38","-338.888","0.10895606074683065"
"still-sweep-4","281","0.7879209491849253","64","0.5694260261529092","63","12","-919.32","-60.864","0.7045485012724528"
"wise-sweep-95","394","0.9819271632473108","94","0.9317838734893684","16","91","-946.8","-88.414","0.8881188511770913"
"laced-sweep-5","526","0.5250727435600488","97","0.6040809782729827","89","86","-967.7","-680.454","0.5213671375318365"
"ethereal-sweep-84","153","0.94564740536768","47","0.908741647729078","100","60","-974.76","-76.05","0.19486224702607047"
"warm-sweep-89","1066","0.5517580605814869","97","0.9876525751995356","10","18","-976.88","16.506","0.4570040300053674"
